Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3698,4497, APS-275669-003_05,Mss.551.5.M26,275669-3,5,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-22,4 O'Clock,16:00,NE,NE,32,,,,,,,,James Madison,overcast & sleet,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,,
3699,4495, APS-275669-003_05,Mss.551.5.M26,275669-3,5,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-22,sunrise,0:00,NE,NE,32,,,,,,,,James Madison,hailing,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,
3700,4499, APS-275669-003_06,Mss.551.5.M26,275669-3,6,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,wind,1789-01-23,4 O'Clock,16:00,S/E,S/E,43,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,4498, APS-275669-003_06,Mss.551.5.M26,275669-3,6,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-23,sunrise,0:00,NE,NE,29,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3702,4501, APS-275669-003_07,Mss.551.5.M26,275669-3,7,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-24,2 O'Clock,14:00,,,44,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,4502, APS-275669-003_07,Mss.551.5.M26,275669-3,7,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-24,4 O'Clock,16:00,E,E,42,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3704,4500, APS-275669-003_07,Mss.551.5.M26,275669-3,7,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-24,sunrise,0:00,S,S,33,,,,,,,,James Madison,partly overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3705,4504, APS-275669-003_08,Mss.551.5.M26,275669-3,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-25,2 O'Clock,14:00,,,47,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,4505, APS-275669-003_08,Mss.551.5.M26,275669-3,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-25,4 O'Clock,16:00,S,S,50,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707,4503, APS-275669-003_08,Mss.551.5.M26,275669-3,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-25,sunrise,0:00,E,E,36,,,,,,,,James Madison,overcast & thick air,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3708,4507, APS-275669-003_09,Mss.551.5.M26,275669-3,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-26,2 O'Clock,14:00,,,51,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709,4508, APS-275669-003_09,Mss.551.5.M26,275669-3,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-26,4 O'Clock,16:00,NE,NE,46,,,,,night,,,James Madison,"cloudy, hard rain in the night",y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
3710,4506, APS-275669-003_09,Mss.551.5.M26,275669-3,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-26,sunrise,0:00,S,S,52,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3711,4510, APS-275669-003_10,Mss.551.5.M26,275669-3,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-27,2 O'Clock,14:00,,,45,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,4511, APS-275669-003_10,Mss.551.5.M26,275669-3,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-27,4 O'Clock,16:00,NE,NE,43,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3713,4509, APS-275669-003_10,Mss.551.5.M26,275669-3,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-27,sunrise,0:00,NE,NE,26,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714,4513, APS-275669-003_11,Mss.551.5.M26,275669-3,11,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-28,2 O'Clock,14:00,,,34,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715,4514, APS-275669-003_11,Mss.551.5.M26,275669-3,11,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,wind,1789-01-28,4 O'Clock,16:00,E/NE,E/NE,33,,,,,,,,James Madison,"raining, & a little snow on the ground",,,,,,y,,,,y,,,,,,,,,,,,,,,,,,,,,,
